実行42回目 ε:0.50 α:0.50 γ:0.50 学習回数:1841 ステップ数:14
実行41回目 ε:0.50 α:0.50 γ:0.50 学習回数:561 ステップ数:14
実行43回目 ε:0.50 α:0.50 γ:0.50 学習回数:757 ステップ数:14
実行44回目 ε:0.50 α:0.50 γ:0.50 学習回数:1112 ステップ数:14
実行40回目 ε:0.50 α:0.50 γ:0.50 学習回数:535 ステップ数:14
実行45回目 ε:0.50 α:0.50 γ:0.50 学習回数:643 ステップ数:14
実行46回目 ε:0.50 α:0.50 γ:0.50 学習回数:11 ステップ数:14
実行47回目 ε:0.50 α:0.50 γ:0.50 学習回数:775 ステップ数:14
実行48回目 ε:0.50 α:0.50 γ:0.50 学習回数:814 ステップ数:14
実行49回目 ε:0.50 α:0.50 γ:0.50 学習回数:221 ステップ数:14
実行52回目 ε:0.50 α:0.50 γ:0.50 学習回数:284 ステップ数:14
実行51回目 ε:0.50 α:0.50 γ:0.50 学習回数:1354 ステップ数:14
実行50回目 ε:0.50 α:0.50 γ:0.50 学習回数:1128 ステップ数:14
実行55回目 ε:0.50 α:0.50 γ:0.50 学習回数:415 ステップ数:14
実行53回目 ε:0.50 α:0.50 γ:0.50 学習回数:232 ステップ数:14
実行54回目 ε:0.50 α:0.50 γ:0.50 学習回数:1568 ステップ数:14
実行56回目 ε:0.50 α:0.50 γ:0.50 学習回数:266 ステップ数:14
実行57回目 ε:0.50 α:0.50 γ:0.50 学習回数:575 ステップ数:14
実行58回目 ε:0.50 α:0.50 γ:0.50 学習回数:104 ステップ数:14
実行60回目 ε:0.50 α:0.50 γ:0.50 学習回数:143 ステップ数:14
実行59回目 ε:0.50 α:0.50 γ:0.50 学習回数:124 ステップ数:14
実行61回目 ε:0.50 α:0.50 γ:0.50 学習回数:31 ステップ数:14
実行64回目 ε:0.50 α:0.50 γ:0.50 学習回数:733 ステップ数:14
実行62回目 ε:0.50 α:0.50 γ:0.50 学習回数:689 ステップ数:14
実行63回目 ε:0.50 α:0.50 γ:0.50 学習回数:1441 ステップ数:14
実行65回目 ε:0.50 α:0.50 γ:0.50 学習回数:1916 ステップ数:14
実行68回目 ε:0.50 α:0.50 γ:0.50 学習回数:1268 ステップ数:14
実行66回目 ε:0.50 α:0.50 γ:0.50 学習回数:44 ステップ数:14
実行69回目 ε:0.50 α:0.50 γ:0.50 学習回数:1247 ステップ数:14
実行67回目 ε:0.50 α:0.50 γ:0.50 学習回数:129 ステップ数:14
実行70回目 ε:0.50 α:0.50 γ:0.50 学習回数:696 ステップ数:14
実行71回目 ε:0.50 α:0.50 γ:0.50 学習回数:2417 ステップ数:14
実行72回目 ε:0.50 α:0.50 γ:0.50 学習回数:2994 ステップ数:14
実行73回目 ε:0.50 α:0.50 γ:0.50 学習回数:298 ステップ数:14
実行75回目 ε:0.50 α:0.50 γ:0.50 学習回数:33 ステップ数:14
実行74回目 ε:0.50 α:0.50 γ:0.50 学習回数:785 ステップ数:14
実行77回目 ε:0.50 α:0.50 γ:0.50 学習回数:357 ステップ数:14
実行76回目 ε:0.50 α:0.50 γ:0.50 学習回数:189 ステップ数:14
実行78回目 ε:0.50 α:0.50 γ:0.50 学習回数:814 ステップ数:14
実行80回目 ε:0.50 α:0.50 γ:0.50 学習回数:129 ステップ数:14
実行79回目 ε:0.50 α:0.50 γ:0.50 学習回数:385 ステップ数:14
実行82回目 ε:0.50 α:0.50 γ:0.50 学習回数:273 ステップ数:14
実行81回目 ε:0.50 α:0.50 γ:0.50 学習回数:152 ステップ数:14
実行83回目 ε:0.50 α:0.50 γ:0.50 学習回数:121 ステップ数:14
実行84回目 ε:0.50 α:0.50 γ:0.50 学習回数:301 ステップ数:14
実行85回目 ε:0.50 α:0.50 γ:0.50 学習回数:439 ステップ数:14
