データ,ε,α,γ,学習回数,ステップ数
ε:0.30 α:0.30 γ:0.60 学習回数:6 ステップ数:22,0.3,0.3,0.6,6,22
ε:0.90 α:0.50 γ:0.80 学習回数:6 ステップ数:22,0.9,0.5,0.8,6,22
ε:0.70 α:0.70 γ:0.30 学習回数:6 ステップ数:22,0.7,0.7,0.3,6,22
ε:0.70 α:0.90 γ:0.40 学習回数:6 ステップ数:22,0.7,0.9,0.4,6,22
ε:0.30 α:0.70 γ:0.90 学習回数:6 ステップ数:22,0.3,0.7,0.9,6,22
ε:0.80 α:0.40 γ:0.70 学習回数:6 ステップ数:22,0.8,0.4,0.7,6,22
ε:0.80 α:0.80 γ:0.30 学習回数:6 ステップ数:22,0.8,0.8,0.3,6,22
ε:0.70 α:0.60 γ:0.50 学習回数:6 ステップ数:22,0.7,0.6,0.5,6,22
ε:0.90 α:0.70 γ:0.80 学習回数:6 ステップ数:22,0.9,0.7,0.8,6,22
ε:0.90 α:0.80 γ:0.10 学習回数:6 ステップ数:22,0.9,0.8,0.1,6,22
ε:0.90 α:0.60 γ:0.30 学習回数:6 ステップ数:22,0.9,0.6,0.3,6,22
ε:0.80 α:0.30 γ:0.90 学習回数:6 ステップ数:22,0.8,0.3,0.9,6,22
ε:0.80 α:0.20 γ:0.30 学習回数:6 ステップ数:22,0.8,0.2,0.3,6,22
ε:0.70 α:0.90 γ:0.80 学習回数:6 ステップ数:22,0.7,0.9,0.8,6,22
ε:0.80 α:0.60 γ:0.60 学習回数:6 ステップ数:22,0.8,0.6,0.6,6,22
ε:0.80 α:0.60 γ:0.50 学習回数:6 ステップ数:22,0.8,0.6,0.5,6,22
ε:0.70 α:0.80 γ:0.80 学習回数:6 ステップ数:22,0.7,0.8,0.8,6,22
ε:0.60 α:0.70 γ:0.30 学習回数:6 ステップ数:22,0.6,0.7,0.3,6,22
ε:0.90 α:0.90 γ:0.90 学習回数:6 ステップ数:22,0.9,0.9,0.9,6,22
ε:0.60 α:0.70 γ:0.10 学習回数:6 ステップ数:22,0.6,0.7,0.1,6,22
ε:0.60 α:0.90 γ:0.80 学習回数:6 ステップ数:22,0.6,0.9,0.8,6,22
ε:0.60 α:0.90 γ:0.50 学習回数:6 ステップ数:22,0.6,0.9,0.5,6,22
ε:0.80 α:0.80 γ:0.20 学習回数:6 ステップ数:22,0.8,0.8,0.2,6,22
ε:0.60 α:0.90 γ:0.90 学習回数:6 ステップ数:22,0.6,0.9,0.9,6,22
ε:0.30 α:0.80 γ:0.70 学習回数:6 ステップ数:22,0.3,0.8,0.7,6,22
ε:0.70 α:0.80 γ:0.30 学習回数:6 ステップ数:22,0.7,0.8,0.3,6,22
ε:0.70 α:0.50 γ:0.30 学習回数:7 ステップ数:22,0.7,0.5,0.3,7,22
ε:0.70 α:0.30 γ:0.70 学習回数:7 ステップ数:22,0.7,0.3,0.7,7,22
ε:0.80 α:0.40 γ:0.40 学習回数:7 ステップ数:22,0.8,0.4,0.4,7,22
ε:0.30 α:0.60 γ:0.30 学習回数:7 ステップ数:22,0.3,0.6,0.3,7,22
ε:0.80 α:0.70 γ:0.60 学習回数:7 ステップ数:22,0.8,0.7,0.6,7,22
ε:0.80 α:0.30 γ:0.50 学習回数:7 ステップ数:22,0.8,0.3,0.5,7,22
ε:0.70 α:0.90 γ:0.50 学習回数:7 ステップ数:22,0.7,0.9,0.5,7,22
ε:0.90 α:0.80 γ:0.60 学習回数:7 ステップ数:22,0.9,0.8,0.6,7,22
ε:0.50 α:0.50 γ:0.80 学習回数:7 ステップ数:22,0.5,0.5,0.8,7,22
ε:0.50 α:0.50 γ:0.70 学習回数:7 ステップ数:22,0.5,0.5,0.7,7,22
ε:0.50 α:0.60 γ:0.50 学習回数:7 ステップ数:22,0.5,0.6,0.5,7,22
ε:0.90 α:0.90 γ:0.30 学習回数:7 ステップ数:22,0.9,0.9,0.3,7,22
ε:0.90 α:0.80 γ:0.80 学習回数:7 ステップ数:22,0.9,0.8,0.8,7,22
ε:0.70 α:0.90 γ:0.20 学習回数:7 ステップ数:22,0.7,0.9,0.2,7,22
ε:0.80 α:0.40 γ:0.70 学習回数:7 ステップ数:22,0.8,0.4,0.7,7,22
ε:0.80 α:0.90 γ:0.60 学習回数:7 ステップ数:22,0.8,0.9,0.6,7,22
ε:0.70 α:0.40 γ:0.70 学習回数:7 ステップ数:22,0.7,0.4,0.7,7,22
ε:0.50 α:0.80 γ:0.90 学習回数:7 ステップ数:22,0.5,0.8,0.9,7,22
ε:0.50 α:0.30 γ:0.80 学習回数:7 ステップ数:22,0.5,0.3,0.8,7,22
ε:0.90 α:0.60 γ:0.90 学習回数:7 ステップ数:22,0.9,0.6,0.9,7,22
ε:0.60 α:0.90 γ:0.90 学習回数:7 ステップ数:22,0.6,0.9,0.9,7,22
ε:0.90 α:0.80 γ:0.80 学習回数:7 ステップ数:22,0.9,0.8,0.8,7,22
ε:0.80 α:0.60 γ:0.90 学習回数:7 ステップ数:22,0.8,0.6,0.9,7,22
ε:0.80 α:0.50 γ:0.50 学習回数:7 ステップ数:22,0.8,0.5,0.5,7,22
ε:0.70 α:0.90 γ:0.60 学習回数:7 ステップ数:22,0.7,0.9,0.6,7,22
ε:0.60 α:0.40 γ:0.90 学習回数:7 ステップ数:22,0.6,0.4,0.9,7,22
ε:0.80 α:0.80 γ:0.30 学習回数:7 ステップ数:22,0.8,0.8,0.3,7,22
ε:0.90 α:0.60 γ:0.30 学習回数:7 ステップ数:22,0.9,0.6,0.3,7,22
ε:0.40 α:0.70 γ:0.90 学習回数:7 ステップ数:22,0.4,0.7,0.9,7,22
ε:0.50 α:0.80 γ:0.50 学習回数:7 ステップ数:22,0.5,0.8,0.5,7,22
ε:0.60 α:0.80 γ:0.10 学習回数:7 ステップ数:22,0.6,0.8,0.1,7,22
ε:0.80 α:0.70 γ:0.40 学習回数:7 ステップ数:22,0.8,0.7,0.4,7,22
ε:0.50 α:0.90 γ:0.40 学習回数:8 ステップ数:22,0.5,0.9,0.4,8,22
ε:0.60 α:0.50 γ:0.90 学習回数:8 ステップ数:22,0.6,0.5,0.9,8,22
ε:0.50 α:0.90 γ:0.20 学習回数:8 ステップ数:22,0.5,0.9,0.2,8,22
ε:0.50 α:0.90 γ:0.30 学習回数:8 ステップ数:22,0.5,0.9,0.3,8,22
ε:0.60 α:0.90 γ:0.20 学習回数:8 ステップ数:22,0.6,0.9,0.2,8,22
ε:0.50 α:0.80 γ:0.90 学習回数:8 ステップ数:22,0.5,0.8,0.9,8,22
ε:0.90 α:0.50 γ:0.60 学習回数:8 ステップ数:22,0.9,0.5,0.6,8,22
ε:0.30 α:0.60 γ:0.40 学習回数:8 ステップ数:22,0.3,0.6,0.4,8,22
ε:0.80 α:0.60 γ:0.80 学習回数:8 ステップ数:22,0.8,0.6,0.8,8,22
ε:0.70 α:0.80 γ:0.10 学習回数:8 ステップ数:22,0.7,0.8,0.1,8,22
ε:0.80 α:0.60 γ:0.30 学習回数:8 ステップ数:22,0.8,0.6,0.3,8,22
ε:0.80 α:0.50 γ:0.90 学習回数:8 ステップ数:22,0.8,0.5,0.9,8,22
ε:0.70 α:0.40 γ:0.50 学習回数:8 ステップ数:22,0.7,0.4,0.5,8,22
ε:0.70 α:0.70 γ:0.40 学習回数:8 ステップ数:22,0.7,0.7,0.4,8,22
ε:0.80 α:0.60 γ:0.30 学習回数:8 ステップ数:22,0.8,0.6,0.3,8,22
ε:0.80 α:0.70 γ:0.90 学習回数:8 ステップ数:22,0.8,0.7,0.9,8,22
ε:0.80 α:0.50 γ:0.50 学習回数:8 ステップ数:22,0.8,0.5,0.5,8,22
ε:0.70 α:0.70 γ:0.60 学習回数:8 ステップ数:22,0.7,0.7,0.6,8,22
ε:0.80 α:0.60 γ:0.70 学習回数:8 ステップ数:22,0.8,0.6,0.7,8,22
ε:0.60 α:0.70 γ:0.70 学習回数:8 ステップ数:22,0.6,0.7,0.7,8,22
ε:0.70 α:0.30 γ:0.80 学習回数:8 ステップ数:22,0.7,0.3,0.8,8,22
ε:0.70 α:0.20 γ:0.90 学習回数:8 ステップ数:22,0.7,0.2,0.9,8,22
ε:0.80 α:0.40 γ:0.20 学習回数:8 ステップ数:22,0.8,0.4,0.2,8,22
ε:0.80 α:0.90 γ:0.70 学習回数:8 ステップ数:22,0.8,0.9,0.7,8,22
ε:0.40 α:0.20 γ:0.50 学習回数:8 ステップ数:22,0.4,0.2,0.5,8,22
ε:0.30 α:0.40 γ:0.70 学習回数:8 ステップ数:22,0.3,0.4,0.7,8,22
ε:0.70 α:0.80 γ:0.20 学習回数:8 ステップ数:22,0.7,0.8,0.2,8,22
ε:0.60 α:0.60 γ:0.20 学習回数:8 ステップ数:22,0.6,0.6,0.2,8,22
ε:0.30 α:0.70 γ:0.50 学習回数:8 ステップ数:22,0.3,0.7,0.5,8,22
ε:0.30 α:0.80 γ:0.90 学習回数:8 ステップ数:22,0.3,0.8,0.9,8,22
ε:0.50 α:0.90 γ:0.50 学習回数:8 ステップ数:22,0.5,0.9,0.5,8,22
ε:0.60 α:0.30 γ:0.90 学習回数:8 ステップ数:22,0.6,0.3,0.9,8,22
ε:0.80 α:0.80 γ:0.90 学習回数:8 ステップ数:22,0.8,0.8,0.9,8,22
ε:0.90 α:0.60 γ:0.40 学習回数:8 ステップ数:22,0.9,0.6,0.4,8,22
ε:0.70 α:0.80 γ:0.70 学習回数:8 ステップ数:22,0.7,0.8,0.7,8,22
ε:0.90 α:0.50 γ:0.30 学習回数:8 ステップ数:22,0.9,0.5,0.3,8,22
ε:0.90 α:0.40 γ:0.40 学習回数:8 ステップ数:22,0.9,0.4,0.4,8,22
ε:0.90 α:0.70 γ:0.20 学習回数:8 ステップ数:22,0.9,0.7,0.2,8,22
ε:0.90 α:0.80 γ:0.40 学習回数:8 ステップ数:22,0.9,0.8,0.4,8,22
ε:0.90 α:0.50 γ:0.90 学習回数:8 ステップ数:22,0.9,0.5,0.9,8,22
ε:0.50 α:0.40 γ:0.40 学習回数:8 ステップ数:22,0.5,0.4,0.4,8,22
ε:0.90 α:0.80 γ:0.40 学習回数:8 ステップ数:22,0.9,0.8,0.4,8,22
ε:0.90 α:0.50 γ:0.30 学習回数:8 ステップ数:22,0.9,0.5,0.3,8,22
ε:0.90 α:0.40 γ:0.60 学習回数:8 ステップ数:22,0.9,0.4,0.6,8,22
ε:0.90 α:0.60 γ:0.50 学習回数:8 ステップ数:22,0.9,0.6,0.5,8,22
ε:0.50 α:0.60 γ:0.90 学習回数:8 ステップ数:22,0.5,0.6,0.9,8,22
ε:0.60 α:0.90 γ:0.50 学習回数:8 ステップ数:22,0.6,0.9,0.5,8,22
ε:0.60 α:0.80 γ:0.30 学習回数:8 ステップ数:22,0.6,0.8,0.3,8,22
ε:0.60 α:0.70 γ:0.20 学習回数:8 ステップ数:22,0.6,0.7,0.2,8,22
ε:0.60 α:0.70 γ:0.50 学習回数:8 ステップ数:22,0.6,0.7,0.5,8,22
ε:0.90 α:0.40 γ:0.80 学習回数:9 ステップ数:22,0.9,0.4,0.8,9,22
ε:0.90 α:0.40 γ:0.70 学習回数:9 ステップ数:22,0.9,0.4,0.7,9,22
ε:0.80 α:0.40 γ:0.60 学習回数:9 ステップ数:22,0.8,0.4,0.6,9,22
ε:0.70 α:0.80 γ:0.80 学習回数:9 ステップ数:22,0.7,0.8,0.8,9,22
ε:0.80 α:0.50 γ:0.20 学習回数:9 ステップ数:22,0.8,0.5,0.2,9,22
ε:0.80 α:0.60 γ:0.60 学習回数:9 ステップ数:22,0.8,0.6,0.6,9,22
ε:0.90 α:0.30 γ:0.40 学習回数:9 ステップ数:22,0.9,0.3,0.4,9,22
ε:0.60 α:0.90 γ:0.10 学習回数:9 ステップ数:22,0.6,0.9,0.1,9,22
ε:0.40 α:0.40 γ:0.80 学習回数:9 ステップ数:22,0.4,0.4,0.8,9,22
ε:0.60 α:0.90 γ:0.40 学習回数:9 ステップ数:22,0.6,0.9,0.4,9,22
ε:0.90 α:0.40 γ:0.50 学習回数:9 ステップ数:22,0.9,0.4,0.5,9,22
ε:0.50 α:0.70 γ:0.80 学習回数:9 ステップ数:22,0.5,0.7,0.8,9,22
ε:0.60 α:0.80 γ:0.50 学習回数:9 ステップ数:22,0.6,0.8,0.5,9,22
ε:0.90 α:0.50 γ:0.50 学習回数:9 ステップ数:22,0.9,0.5,0.5,9,22
ε:0.60 α:0.40 γ:0.70 学習回数:9 ステップ数:22,0.6,0.4,0.7,9,22
ε:0.90 α:0.90 γ:0.20 学習回数:9 ステップ数:22,0.9,0.9,0.2,9,22
ε:0.50 α:0.60 γ:0.70 学習回数:9 ステップ数:22,0.5,0.6,0.7,9,22
ε:0.60 α:0.20 γ:0.90 学習回数:9 ステップ数:22,0.6,0.2,0.9,9,22
ε:0.60 α:0.30 γ:0.80 学習回数:9 ステップ数:22,0.6,0.3,0.8,9,22
ε:0.50 α:0.90 γ:0.80 学習回数:9 ステップ数:22,0.5,0.9,0.8,9,22
ε:0.40 α:0.50 γ:0.60 学習回数:9 ステップ数:22,0.4,0.5,0.6,9,22
ε:0.90 α:0.90 γ:0.80 学習回数:9 ステップ数:22,0.9,0.9,0.8,9,22
ε:0.90 α:0.60 γ:0.20 学習回数:9 ステップ数:22,0.9,0.6,0.2,9,22
ε:0.90 α:0.80 γ:0.30 学習回数:9 ステップ数:22,0.9,0.8,0.3,9,22
ε:0.90 α:0.50 γ:0.40 学習回数:9 ステップ数:22,0.9,0.5,0.4,9,22
ε:0.80 α:0.70 γ:0.70 学習回数:9 ステップ数:22,0.8,0.7,0.7,9,22
ε:0.90 α:0.30 γ:0.60 学習回数:9 ステップ数:22,0.9,0.3,0.6,9,22
ε:0.30 α:0.40 γ:0.60 学習回数:9 ステップ数:22,0.3,0.4,0.6,9,22
ε:0.90 α:0.60 γ:0.50 学習回数:9 ステップ数:22,0.9,0.6,0.5,9,22
ε:0.90 α:0.60 γ:0.90 学習回数:9 ステップ数:22,0.9,0.6,0.9,9,22
ε:0.70 α:0.60 γ:0.60 学習回数:9 ステップ数:22,0.7,0.6,0.6,9,22
ε:0.80 α:0.50 γ:0.70 学習回数:9 ステップ数:22,0.8,0.5,0.7,9,22
ε:0.80 α:0.30 γ:0.90 学習回数:9 ステップ数:22,0.8,0.3,0.9,9,22
ε:0.70 α:0.80 γ:0.40 学習回数:9 ステップ数:22,0.7,0.8,0.4,9,22
ε:0.70 α:0.10 γ:0.90 学習回数:9 ステップ数:22,0.7,0.1,0.9,9,22
ε:0.70 α:0.70 γ:0.20 学習回数:9 ステップ数:22,0.7,0.7,0.2,9,22
ε:0.90 α:0.80 γ:0.50 学習回数:9 ステップ数:22,0.9,0.8,0.5,9,22
ε:0.90 α:0.40 γ:0.70 学習回数:9 ステップ数:22,0.9,0.4,0.7,9,22
ε:0.50 α:0.80 γ:0.40 学習回数:9 ステップ数:22,0.5,0.8,0.4,9,22
ε:0.70 α:0.10 γ:0.60 学習回数:9 ステップ数:22,0.7,0.1,0.6,9,22
ε:0.50 α:0.90 γ:0.30 学習回数:9 ステップ数:22,0.5,0.9,0.3,9,22
ε:0.70 α:0.60 γ:0.60 学習回数:9 ステップ数:22,0.7,0.6,0.6,9,22
ε:0.50 α:0.30 γ:0.50 学習回数:9 ステップ数:22,0.5,0.3,0.5,9,22
ε:0.60 α:0.50 γ:0.40 学習回数:9 ステップ数:22,0.6,0.5,0.4,9,22
ε:0.50 α:0.50 γ:0.90 学習回数:9 ステップ数:22,0.5,0.5,0.9,9,22
ε:0.90 α:0.70 γ:0.20 学習回数:10 ステップ数:22,0.9,0.7,0.2,10,22
ε:0.90 α:0.40 γ:0.80 学習回数:10 ステップ数:22,0.9,0.4,0.8,10,22
ε:0.70 α:0.50 γ:0.60 学習回数:10 ステップ数:22,0.7,0.5,0.6,10,22
ε:0.70 α:0.70 γ:0.80 学習回数:10 ステップ数:22,0.7,0.7,0.8,10,22
ε:0.40 α:0.80 γ:0.40 学習回数:10 ステップ数:22,0.4,0.8,0.4,10,22
ε:0.90 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.9,0.6,0.8,10,22
ε:0.90 α:0.80 γ:0.20 学習回数:10 ステップ数:22,0.9,0.8,0.2,10,22
ε:0.60 α:0.70 γ:0.40 学習回数:10 ステップ数:22,0.6,0.7,0.4,10,22
ε:0.60 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.6,0.6,0.8,10,22
ε:0.90 α:0.60 γ:0.40 学習回数:10 ステップ数:22,0.9,0.6,0.4,10,22
ε:0.90 α:0.80 γ:0.30 学習回数:10 ステップ数:22,0.9,0.8,0.3,10,22
ε:0.50 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.5,0.6,0.8,10,22
ε:0.90 α:0.50 γ:0.20 学習回数:10 ステップ数:22,0.9,0.5,0.2,10,22
ε:0.50 α:0.70 γ:0.40 学習回数:10 ステップ数:22,0.5,0.7,0.4,10,22
ε:0.50 α:0.60 γ:0.80 学習回数:10 ステップ数:22,0.5,0.6,0.8,10,22
ε:0.60 α:0.30 γ:0.90 学習回数:10 ステップ数:22,0.6,0.3,0.9,10,22
ε:0.50 α:0.50 γ:0.40 学習回数:10 ステップ数:22,0.5,0.5,0.4,10,22
ε:0.50 α:0.30 γ:0.60 学習回数:10 ステップ数:22,0.5,0.3,0.6,10,22
ε:0.50 α:0.60 γ:0.60 学習回数:10 ステップ数:22,0.5,0.6,0.6,10,22
ε:0.50 α:0.80 γ:0.20 学習回数:10 ステップ数:22,0.5,0.8,0.2,10,22
ε:0.50 α:0.50 γ:0.50 学習回数:10 ステップ数:22,0.5,0.5,0.5,10,22
ε:0.70 α:0.60 γ:0.20 学習回数:10 ステップ数:22,0.7,0.6,0.2,10,22
ε:0.70 α:0.50 γ:0.80 学習回数:10 ステップ数:22,0.7,0.5,0.8,10,22
ε:0.80 α:0.40 γ:0.50 学習回数:10 ステップ数:22,0.8,0.4,0.5,10,22
ε:0.80 α:0.80 γ:0.10 学習回数:10 ステップ数:22,0.8,0.8,0.1,10,22
ε:0.80 α:0.40 γ:0.50 学習回数:10 ステップ数:22,0.8,0.4,0.5,10,22
