データ,ε,α,γ,学習回数,ステップ数
ε:0.60 α:0.60 γ:0.90 学習回数:5 ステップ数:22,0.6,0.6,0.9,5,22
ε:0.60 α:0.80 γ:0.60 学習回数:5 ステップ数:22,0.6,0.8,0.6,5,22
ε:0.60 α:0.60 γ:0.40 学習回数:5 ステップ数:22,0.6,0.6,0.4,5,22
ε:0.40 α:0.90 γ:0.30 学習回数:5 ステップ数:22,0.4,0.9,0.3,5,22
ε:0.70 α:0.30 γ:0.80 学習回数:5 ステップ数:22,0.7,0.3,0.8,5,22
ε:0.50 α:0.40 γ:0.80 学習回数:5 ステップ数:22,0.5,0.4,0.8,5,22
ε:0.40 α:0.40 γ:0.60 学習回数:5 ステップ数:22,0.4,0.4,0.6,5,22
ε:0.30 α:0.50 γ:0.70 学習回数:5 ステップ数:22,0.3,0.5,0.7,5,22
ε:0.60 α:0.80 γ:0.60 学習回数:5 ステップ数:22,0.6,0.8,0.6,5,22
ε:0.70 α:0.20 γ:0.70 学習回数:5 ステップ数:22,0.7,0.2,0.7,5,22
ε:0.90 α:0.60 γ:0.60 学習回数:5 ステップ数:22,0.9,0.6,0.6,5,22
ε:0.90 α:0.70 γ:0.60 学習回数:5 ステップ数:22,0.9,0.7,0.6,5,22
ε:0.40 α:0.80 γ:0.80 学習回数:5 ステップ数:22,0.4,0.8,0.8,5,22
ε:0.40 α:0.80 γ:0.50 学習回数:5 ステップ数:22,0.4,0.8,0.5,5,22
ε:0.40 α:0.90 γ:0.40 学習回数:5 ステップ数:22,0.4,0.9,0.4,5,22
ε:0.90 α:0.80 γ:0.60 学習回数:5 ステップ数:22,0.9,0.8,0.6,5,22
ε:0.90 α:0.90 γ:0.80 学習回数:6 ステップ数:22,0.9,0.9,0.8,6,22
ε:0.60 α:0.90 γ:0.40 学習回数:6 ステップ数:22,0.6,0.9,0.4,6,22
ε:0.60 α:0.90 γ:0.70 学習回数:6 ステップ数:22,0.6,0.9,0.7,6,22
ε:0.60 α:0.90 γ:0.30 学習回数:6 ステップ数:22,0.6,0.9,0.3,6,22
ε:0.90 α:0.60 γ:0.70 学習回数:6 ステップ数:22,0.9,0.6,0.7,6,22
ε:0.60 α:0.70 γ:0.90 学習回数:6 ステップ数:22,0.6,0.7,0.9,6,22
ε:0.90 α:0.70 γ:0.10 学習回数:6 ステップ数:22,0.9,0.7,0.1,6,22
ε:0.60 α:0.80 γ:0.90 学習回数:6 ステップ数:22,0.6,0.8,0.9,6,22
ε:0.40 α:0.80 γ:0.90 学習回数:6 ステップ数:22,0.4,0.8,0.9,6,22
ε:0.50 α:0.70 γ:0.30 学習回数:6 ステップ数:22,0.5,0.7,0.3,6,22
ε:0.70 α:0.50 γ:0.90 学習回数:6 ステップ数:22,0.7,0.5,0.9,6,22
ε:0.70 α:0.40 γ:0.80 学習回数:6 ステップ数:22,0.7,0.4,0.8,6,22
ε:0.60 α:0.80 γ:0.80 学習回数:6 ステップ数:22,0.6,0.8,0.8,6,22
ε:0.90 α:0.70 γ:0.40 学習回数:6 ステップ数:22,0.9,0.7,0.4,6,22
ε:0.90 α:0.70 γ:0.60 学習回数:6 ステップ数:22,0.9,0.7,0.6,6,22
ε:0.20 α:0.90 γ:0.20 学習回数:6 ステップ数:22,0.2,0.9,0.2,6,22
