ε,α,γ,学習回数,ステップ数
0.50,0.70,0.50,264,14
0.50,0.70,0.70,3109,14
0.50,0.70,0.90,92,14
0.50,0.90,0.10,850,14
0.50,0.90,0.30,546,14
0.50,0.90,0.50,59,14
0.50,0.90,0.70,200,14
0.50,0.90,0.90,366,14
0.70,0.10,0.10,127,14
0.70,0.10,0.30,30,14
0.70,0.10,0.50,115,14
0.70,0.10,0.70,32,14
0.70,0.10,0.90,63,14
0.70,0.30,0.10,89,14
0.70,0.30,0.30,72,14
0.70,0.30,0.50,32,14
0.70,0.30,0.70,79,14
0.70,0.30,0.90,37,14
0.70,0.50,0.10,117,14
0.70,0.50,0.30,34,14
0.70,0.50,0.50,26,14
0.70,0.50,0.70,125,14
0.70,0.50,0.90,103,14
0.70,0.70,0.10,88,14
0.70,0.70,0.30,10,14
0.70,0.70,0.50,145,14
0.70,0.70,0.70,5,14
0.70,0.70,0.90,20,14
0.70,0.90,0.10,29,14
0.70,0.90,0.30,31,14
0.70,0.90,0.50,11,14
0.70,0.90,0.70,58,14
0.70,0.90,0.90,66,14
0.90,0.10,0.10,129,14
0.90,0.10,0.30,43,14
0.90,0.10,0.50,47,14
0.90,0.10,0.70,35,14
0.90,0.10,0.90,42,14
0.90,0.30,0.10,42,14
0.90,0.30,0.30,28,14
0.90,0.30,0.50,23,14
0.90,0.30,0.70,19,14
0.90,0.30,0.90,12,14
0.90,0.50,0.10,21,14
0.90,0.50,0.30,20,14
0.90,0.50,0.50,17,14
0.90,0.50,0.70,11,14
0.90,0.50,0.90,11,14
0.90,0.70,0.10,13,14
0.90,0.70,0.30,10,14
0.90,0.70,0.50,7,14
0.90,0.70,0.70,17,14
0.90,0.70,0.90,12,14
0.90,0.90,0.10,12,14
0.90,0.90,0.30,9,14
0.90,0.90,0.50,8,14
0.90,0.90,0.70,13,14
0.90,0.90,0.90,9,14
